"ID","Name","Experiences.Offered","Host.Since","Host.Response.Time","Host.Response.Rate","City","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bathrooms","Bedrooms","Beds","Bed.Type","Amenities","Price","Security.Deposit","Cleaning.Fee","Minimum.Nights","Number.of.Reviews","Review.Scores.Rating","Review.Scores.Accuracy","Review.Scores.Cleanliness","Review.Scores.Checkin","Review.Scores.Communication","Review.Scores.Location","Review.Scores.Value","Cancellation.Policy","Features"
6017649,"Nice room at Vondelpark","none","2011-09-22","",NA,"Amsterdam",52.3599269689411,4.86285967119936,"Apartment","Private room",1,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials",50,NA,NA,1,3,90,10,9,10,9,9,9,"flexible","Host Has Profile Pic"
9192415,"Cozy apartment center Amsterdam","none","2015-10-31","within a few hours",100,"Amsterdam",52.3613710126953,4.87386032560154,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",95,NA,15,2,16,99,10,10,10,10,10,10,"moderate","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact"
743788,"Le Quartier Sonang-Kamar Bidadari","none","2012-10-17","within a day",100,"Amsterdam",52.3645675684607,4.87563953993012,"Bed & Breakfast","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Breakfast,Heating,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo",160,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,"strict","Host Has Profile Pic,Is Location Exact"
13153299,"Trendy and spacious rooftop apt (115m2) in centre","none","2014-07-04","within a few hours",100,"Amsterdam",52.3646463693336,4.87404861185806,"Apartment","Entire home/apt",4,1,2,3,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",175,250,50,12,1,100,10,10,10,10,10,10,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
277011,"nice apartment in centre amsterdam","none","2011-11-27","within an hour",100,"Amsterdam",52.3582950843954,4.8590919477266,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","Wireless Internet,Kitchen,Hot tub,Buzzer/wireless intercom,Heating,Washer,Iron,Laptop friendly workspace,Private entrance",100,NA,NA,4,12,96,10,9,10,9,10,10,"strict","Host Has Profile Pic,Is Location Exact,Instant Bookable"
13531067,"AMSTERDAM, OUD-WEST","none","2015-06-26","within a day",100,"Amsterdam",52.366678711949,4.86559494384158,"Apartment","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace",100,NA,NA,2,6,87,9,8,9,10,10,8,"moderate","Host Has Profile Pic"
13465532,"Romantic house in easy Amsterdam, garden and cats","none","2014-05-17","within a few hours",100,"Amsterdam",52.3637575733564,4.87198808604122,"Townhouse","Entire home/apt",6,1,4,4,"Real Bed","TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Hair dryer,Iron,Laptop friendly workspace",350,350,100,5,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
13760586,"Fresh and bright in Baarsjes","none","2014-04-24","within an hour",100,"Amsterdam",52.3708013874249,4.85334506811451,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",115,NA,35,3,1,100,10,10,10,10,8,8,"strict","Host Has Profile Pic"
7890890,"♥ Family home with garden, Oud West","none","2014-12-21","",NA,"Amsterdam",52.3651869694861,4.87602610490344,"House","Entire home/apt",5,1,2,4,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Pets live on this property,Cat(s),Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace",225,NA,75,5,2,100,10,10,10,10,10,10,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
9690677,"Bright & Modern Apartment","none","2015-08-05","",NA,"Amsterdam",52.368466776562,4.86115757350601,"Apartment","Entire home/apt",4,1,2,2,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",180,NA,50,1,2,100,10,10,10,10,9,10,"moderate","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact"
