"ID","Name","Experiences.Offered","Host.Since","Host.Response.Time","Host.Response.Rate","City","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bathrooms","Bedrooms","Beds","Bed.Type","Amenities","Price","Security.Deposit","Cleaning.Fee","Minimum.Nights","Number.of.Reviews","Review.Scores.Rating","Review.Scores.Accuracy","Review.Scores.Cleanliness","Review.Scores.Checkin","Review.Scores.Communication","Review.Scores.Location","Review.Scores.Value","Cancellation.Policy","Features"
1822149,"Nice & Quite room Raval Boquería center","none","2013-10-20","within an hour",100,"Barcelona",41.3818929396773,2.17239738653045,"Apartment","Private room",1,1,1,1,"Real Bed","Wireless Internet,Pets allowed,Elevator in building,Heating,Family/kid friendly,First aid kit,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron",36,100,20,2,50,87,9,9,9,9,10,9,"strict","Host Has Profile Pic,Is Location Exact,Requires License"
16956283,"Cosy flat in the city centre","none","2013-06-21","within a day",100,"Barcelona",41.3796095097291,2.16479581852413,"Apartment","Entire home/apt",2,1,2,2,"Real Bed","Wireless Internet,Kitchen,Pets allowed,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer",100,NA,NA,3,1,100,10,10,10,10,8,10,"flexible","Host Has Profile Pic,Is Location Exact,Requires License"
6290341,"GORGEOUS DESIGN GROUND FLOOR","none","2012-03-04","within an hour",100,"Barcelona",41.3796179760679,2.16581244022653,"Apartment","Entire home/apt",5,1,2,3,"Real Bed","TV,Internet,Air conditioning,Wheelchair accessible,Elevator in building,Buzzer/wireless intercom,Family/kid friendly,Washer,Essentials",69,NA,35,1,62,87,10,9,9,9,9,9,"flexible","Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable,Require Guest Profile Picture,Require Guest Phone Verification"
11629529,"Cute attic in the city centre.","none","2016-03-05","within a few hours",100,"Barcelona",41.378394925508,2.16433486288452,"Apartment","Entire home/apt",3,1,1,2,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",79,200,30,6,16,93,10,10,10,10,9,9,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
3845305,"LOVELY ROOM IN LICEU","none","2014-08-11","",NA,"Barcelona",41.3790885238818,2.17328712275556,"Apartment","Private room",2,1.5,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Elevator in building,Washer,Fire extinguisher,Essentials",65,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Requires License"
11312258,"ESTUDIO RAMBLAS A","none","2016-01-20","within an hour",100,"Barcelona",41.3820837944985,2.17182406136955,"Apartment","Entire home/apt",3,1,1,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Private entrance",125,300,50,2,7,97,9,10,10,10,10,10,"strict","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
17292597,"Double Room - perfect location","none","2011-05-18","within an hour",100,"Barcelona",41.3811819469405,2.16409078886913,"Apartment","Private room",2,2,1,1,"Real Bed","Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private living room",50,NA,20,2,0,NA,NA,NA,NA,NA,NA,NA,"moderate","Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable"
12727132,"Dali Private Bath with bunk bed and balcony","none","2011-10-25","within an hour",100,"Barcelona",41.3782327739354,2.17459126447471,"Apartment","Private room",2,1,1,2,"Real Bed","Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",150,200,30,3,3,87,9,8,10,9,9,9,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Require Guest Profile Picture"
17903826,"Sunny and clean Double Room in BCN center","none","2012-02-19","within an hour",100,"Barcelona",41.3761227919425,2.17527525796662,"House","Private room",2,2,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",90,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"strict","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
9745500,"DOUBLE ROOM IN THE CITY CENTER","none","2015-11-23","within a few hours",96,"Barcelona",41.378307134554,2.17288774753574,"Apartment","Private room",2,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hair dryer",25,NA,NA,7,60,82,8,8,9,9,10,9,"strict","Host Has Profile Pic,Requires License"
6682909,"habitacion fucsia","none","2011-07-03","within an hour",100,"Barcelona",41.3831310780705,2.16447684498876,"Apartment","Private room",2,2,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Family/kid friendly,Washer",38,100,NA,3,21,76,8,7,9,9,9,7,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
12668037,"LAS RAMBLAS, A/A COZY ESTUDIO","none","2016-03-01","within an hour",97,"Barcelona",41.3853781616852,2.16953805382713,"Apartment","Entire home/apt",4,1,0,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Hair dryer,Iron",100,100,50,2,41,85,9,8,10,9,10,9,"strict","Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable"
17044953,"aprtamento dos habitaciones centro","none","2017-02-01","within an hour",100,"Barcelona",41.3806132846822,2.16908027025663,"Apartment","Entire home/apt",4,1,1,3,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,Hair dryer,Laptop friendly workspace",75,NA,15,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Requires License,Instant Bookable"
4389772,"Nice Low Cost in Raval City Center","none","2012-10-07","within an hour",100,"Barcelona",41.3774358629718,2.16780470451894,"Apartment","Entire home/apt",4,1,2,2,"Real Bed","Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials",62,100,30,1,41,80,9,8,9,9,8,8,"strict","Host Has Profile Pic,Is Location Exact,Requires License"
16760096,"Relaxing big room with doublebed - Las Ramblas","none","2015-08-27","within a day",100,"Barcelona",41.3801739677022,2.17857303994229,"Apartment","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",30,NA,5,1,10,93,10,8,10,10,10,9,"moderate","Host Has Profile Pic,Is Location Exact,Requires License"
1293643,"Colourful apartment in city centre (Gotic Area)","none","2013-06-20","within a day",70,"Barcelona",41.3862135108279,2.17096128540699,"Apartment","Entire home/apt",6,1,3,4,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",95,100,40,2,72,91,9,9,10,10,10,9,"strict","Host Has Profile Pic,Is Location Exact,Requires License"
17651407,"BEAUTIFUL APARTMENT HEART BARCELONA","none","2016-08-15","within an hour",95,"Barcelona",41.3794260792871,2.18033169807015,"Apartment","Entire home/apt",6,1,2,3,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Family/kid friendly,Dryer,First aid kit,Essentials,Hair dryer",350,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
17538714,"Nice studio center of gótico","none","2016-06-20","within an hour",100,"Barcelona",41.3798645655547,2.18046613327617,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","",50,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Requires License"
13995650,"3_rooms_bairrogotic_beach","none","2014-08-18","within a few hours",91,"Barcelona",41.3799559271711,2.17946979779345,"Apartment","Entire home/apt",9,2,3,7,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers",120,NA,50,3,12,87,9,9,10,9,10,9,"flexible","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
4045637,"Nice flat in Barcelona city center.","none","2014-08-20","within a few hours",100,"Barcelona",41.3811379647674,2.17873437733531,"Apartment","Entire home/apt",4,1.5,2,2,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Iron",139,100,NA,5,28,93,9,10,9,10,9,9,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
7450570,"DoubleRoom by Ramblas with Balcony","none","2015-05-28","within an hour",97,"Barcelona",41.380059742514,2.17569021884861,"Apartment","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Heating,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",55,NA,NA,4,92,85,9,8,10,10,9,9,"moderate","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
1098571,"Plz REAL (Square)10  /R3. PENTHOUSE","none","2013-02-25","within an hour",98,"Barcelona",41.3796279096513,2.17513249285963,"Bed & Breakfast","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Dog(s),Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers",50,NA,5,1,375,91,9,8,10,10,10,9,"moderate","Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable"
