"ID","Name","Experiences.Offered","Host.Since","Host.Response.Time","Host.Response.Rate","City","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bathrooms","Bedrooms","Beds","Bed.Type","Amenities","Price","Security.Deposit","Cleaning.Fee","Minimum.Nights","Number.of.Reviews","Review.Scores.Rating","Review.Scores.Accuracy","Review.Scores.Cleanliness","Review.Scores.Checkin","Review.Scores.Communication","Review.Scores.Location","Review.Scores.Value","Cancellation.Policy","Features"
10103806,"Amazing flat at Passage Ideal","none","2015-06-20","",NA,"Berlin",52.4805421073558,13.4358354870922,"Apartment","Entire home/apt",3,1,1,2,"Real Bed","Internet,Air conditioning,Kitchen,Hot tub,Heating,Washer,Essentials",45,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic"
16187267,"Spacious Loft (73m²) with Large Roof Terrace","none","2012-08-26","within an hour",100,"Berlin",52.4799510865886,13.4393480911582,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",45,200,20,2,8,100,10,9,9,10,9,9,"moderate","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Require Guest Profile Picture"
16247375,"Room in the heart of Berlin nicest area","none","2013-12-03","",NA,"Berlin",52.4742768305934,13.447508780861,"Apartment","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Smoking allowed,Hot tub,Washer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",18,NA,NA,6,1,100,10,10,10,6,10,10,"moderate","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
412418,"2,5 Room Apartment Neukölln, Berlin","none","2011-12-07","",NA,"Berlin",52.4820830924391,13.447824889,"Apartment","Entire home/apt",5,1,2,4,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Pets allowed,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials",50,NA,20,2,7,93,10,9,9,10,9,10,"strict","Host Has Profile Pic,Is Location Exact"
6076066,"Vintage apartment in  Neukölln","none","2014-12-01","a few days or more",0,"Berlin",52.471531283346,13.4415726317228,"Apartment","Entire home/apt",2,1,1,1,"Couch","TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Buzzer/wireless intercom,Heating,Washer,Carbon monoxide detector,Essentials,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49",65,NA,15,1,5,100,10,10,10,10,9,9,"moderate","Host Has Profile Pic,Is Location Exact"
10138093,"cosy flat in vibrant Neukölln","none","2015-12-22","",NA,"Berlin",52.4773530333742,13.4396867589414,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials,Hangers,Laptop friendly workspace",40,150,30,1,1,80,10,2,10,10,10,8,"flexible","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
7612609,"helle WG-Zimmer in saniertem Altbau","none","2015-07-29","",NA,"Berlin",52.4779997022578,13.4479217565658,"Apartment","Private room",1,2,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials",20,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic"
6874892,"Cozy Room in Berlin Neukölln","none","2015-06-17","",NA,"Berlin",52.4802682646526,13.4362352395947,"Apartment","Private room",2,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Smoking allowed,Washer",24,NA,NA,1,2,80,10,6,10,10,8,10,"flexible","Host Has Profile Pic,Is Location Exact"
9807731,"Comfy + Hip, Top Location, Neukölln","none","2014-09-01","",NA,"Berlin",52.48247905022,13.4432591856525,"Apartment","Entire home/apt",3,1,2,2,"Real Bed","Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials,Hair dryer,Iron,Laptop friendly workspace",39,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
15000027,"Beautiful Botanic Furnished Room at Neukölln","none","2016-06-14","within an hour",100,"Berlin",52.4782286919934,13.4400353113451,"Apartment","Private room",2,1,1,1,"Real Bed","Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo",26,NA,NA,2,22,100,10,10,10,10,10,10,"moderate","Host Is Superhost,Host Has Profile Pic,Is Location Exact,Instant Bookable"
