"ID","Name","Experiences.Offered","Host.Since","Host.Response.Time","Host.Response.Rate","City","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bathrooms","Bedrooms","Beds","Bed.Type","Amenities","Price","Security.Deposit","Cleaning.Fee","Minimum.Nights","Number.of.Reviews","Review.Scores.Rating","Review.Scores.Accuracy","Review.Scores.Cleanliness","Review.Scores.Checkin","Review.Scores.Communication","Review.Scores.Location","Review.Scores.Value","Cancellation.Policy","Features"
13306958,"Moore Park Maisonette","none","2016-06-01","",NA,"London",51.4793986027457,-0.19287475372301,"Condominium","Entire home/apt",5,1,2,2,"Real Bed","Wireless Internet,Kitchen,Heating,Washer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",80,150,25,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Is Location Exact"
5570655,"Fulham Garden Flat","none","2015-03-06","within a day",100,"London",51.4720866952786,-0.206380252204483,"Apartment","Entire home/apt",3,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",120,NA,30,2,14,96,10,9,10,10,10,9,"flexible","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
7668448,"London Studio Shepherds Bush","none","2013-07-11","",NA,"London",51.5018311728047,-0.221650068314996,"Apartment","Entire home/apt",2,1,0,1,"Real Bed","Kitchen,Elevator in building,Heating,Washer,Smoke detector,Carbon monoxide detector,Safety card,Fire extinguisher,Essentials",99,400,100,3,1,100,10,10,10,10,10,10,"strict","Host Is Superhost,Host Has Profile Pic"
13958516,"Conveniently located, bright & cosy studio","none","2016-06-01","",NA,"London",51.4844962301066,-0.206113012460394,"Apartment","Entire home/apt",2,1,0,1,"Real Bed","Wireless Internet,Kitchen,Washer,Smoke detector,Carbon monoxide detector,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",75,NA,10,1,1,80,10,10,10,10,8,8,"moderate","Host Has Profile Pic,Is Location Exact"
11632615,"Superb Modern House West of Chelsea","none","2014-06-05","within an hour",100,"London",51.4733868772241,-0.193706286583519,"House","Entire home/apt",6,4,3,3,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Private entrance",350,NA,60,3,3,100,10,9,10,10,10,10,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
7270274,"The Garden Flat","none","2015-07-10","within a day",100,"London",51.5171493364163,-0.225529591006954,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Shampoo",180,NA,80,4,4,100,10,10,10,10,10,10,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
6876434,"The spacious room in the apartment","none","2015-06-17","within an hour",100,"London",51.4893697184632,-0.220000164727205,"Bed & Breakfast","Private room",2,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Breakfast,Heating,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",52,NA,10,2,39,94,9,10,10,10,9,9,"flexible","Host Has Profile Pic,Is Location Exact,Instant Bookable"
4123151,"Large double room in a contemporary London flat.","none","2014-09-16","",NA,"London",51.4679259868404,-0.186637642570162,"Apartment","Private room",2,1,1,1,"Real Bed","Internet,Wireless Internet,Kitchen,Gym,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Shampoo,Hangers,Iron,translation missing: en.hosting_amenity_50",90,NA,33,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Host Identity Verified"
450847,"cute stylish flat near Notting Hill","none","2011-11-08","within an hour",100,"London",51.5131214960545,-0.225661980540156,"Apartment","Private room",1,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Pets live on this property,Cat(s),Heating,Washer,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",48,NA,NA,3,60,98,10,10,10,10,10,10,"moderate","Host Has Profile Pic,Is Location Exact"
16834704,"EN SUITE IN NEW HOUSE IN ZONE 2","none","2014-12-04","within a few hours",100,"London",51.5150787776645,-0.234663389589957,"House","Private room",2,3,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",49,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
14213017,"Large double room in quiet street","none","2015-07-07","within a few hours",88,"London",51.5017026833169,-0.222811777925968,"House","Private room",2,2,1,1,"Real Bed","Wireless Internet,Kitchen,Heating,Washer,Smoke detector,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance",40,NA,NA,2,4,100,10,9,10,10,10,10,"moderate","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
7526292,"Kensington Olympia penthouse with 70m2 terrace","none","2013-04-15","",NA,"London",51.4924679297554,-0.203904171192161,"Apartment","Entire home/apt",4,1,2,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",99,150,45,5,23,95,10,10,10,10,10,9,"strict","Host Has Profile Pic,Host Identity Verified"
13161978,"Modern 2BR Apt in West London","none","2012-04-12","within an hour",99,"London",51.5031569741405,-0.250742229996241,"Apartment","Entire home/apt",4,1,2,4,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron",165,200,95,2,3,73,8,7,10,9,8,7,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
3853766,"Central London 2 Bedroom Apartment","none","2013-08-22","within an hour",100,"London",51.5103456196343,-0.232298325838734,"Apartment","Entire home/apt",8,1.5,2,7,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",165,150,55,1,13,86,9,10,10,10,8,9,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
16433181,"1 bedroom studio big separate room","none","2015-04-25","a few days or more",0,"London",51.4964698745061,-0.234621551015833,"Apartment","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Hot tub,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Shampoo,Iron",90,250,20,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic"
15907786,"Charming 1-Bed Mews (Converted Stable) in SW6","none","2013-05-12","within an hour",100,"London",51.48144863923,-0.206852415228776,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","Wireless Internet,Kitchen,Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox",60,85,51,2,3,93,10,9,9,10,10,10,"moderate","Host Has Profile Pic,Host Identity Verified"
14463961,"Stunning Interior Designed 4bed Hse nr tube","none","2015-02-11","within a few hours",99,"London",51.478490371437,-0.192170748355603,"Apartment","Entire home/apt",7,3,4,4,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance",450,400,100,4,2,100,10,10,10,10,10,10,"moderate","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
15641084,"Silvie Bnb 2","none","2016-10-23","within a few hours",93,"London",51.4903538302332,-0.214959640976358,"House","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Free parking on premises,Breakfast,Heating,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",45,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Has Profile Pic,Is Location Exact"
852486,"Cosy medium sized room in W12","none","2012-03-18","within a few hours",100,"London",51.5076308275976,-0.226731694578564,"House","Private room",1,1,1,1,"Real Bed","Wireless Internet,Kitchen,Pets live on this property,Cat(s),Heating,Washer,Dryer,Smoke detector,Lock on bedroom door,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",36,NA,NA,1,74,91,10,9,10,10,9,9,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
