"ID","Name","Experiences.Offered","Host.Since","Host.Response.Time","Host.Response.Rate","City","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bathrooms","Bedrooms","Beds","Bed.Type","Amenities","Price","Security.Deposit","Cleaning.Fee","Minimum.Nights","Number.of.Reviews","Review.Scores.Rating","Review.Scores.Accuracy","Review.Scores.Cleanliness","Review.Scores.Checkin","Review.Scores.Communication","Review.Scores.Location","Review.Scores.Value","Cancellation.Policy","Features"
5795622,"Trastevere Suite Inn","none","2015-03-26","",NA,"Roma",41.8870336185422,12.4779043063372,"Apartment","Entire home/apt",4,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",130,NA,NA,3,1,100,10,10,10,10,10,10,"flexible_new","Host Has Profile Pic,Is Location Exact"
4133997,"Cozy studio in Trastevere","none","2011-10-31","within a day",90,"Roma",41.8891263178726,12.4681946224339,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials",95,NA,15,1,38,97,10,10,10,10,10,10,"moderate_new","Host Has Profile Pic,Host Identity Verified"
12691601,"Gordon's Apartment","none","2016-04-26","within an hour",100,"Roma",41.8920889682722,12.5107660441923,"Apartment","Entire home/apt",4,1,2,3,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer",70,NA,NA,1,18,81,8,9,8,8,9,8,"moderate_new","Is Location Exact,Instant Bookable"
7171703,"Room 4 ""New Guest House Roma""B&B","none","2015-07-05","within a day",100,"Roma",41.886886597141,12.5086707748847,"Apartment","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Smoke detector,First aid kit,Fire extinguisher,Essentials",53,NA,NA,1,1,60,8,10,8,8,10,8,"flexible_new","Host Has Profile Pic,Host Identity Verified,Is Location Exact"
17569163,"Chic House Apartment - San Pietro","none","2017-03-05","within an hour",100,"Roma",41.9098896306155,12.4467280005924,"Apartment","Entire home/apt",8,2,2,4,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hangers,Hair dryer,High chair",78,100,25,2,2,100,10,10,10,10,10,10,"moderate_new","Host Has Profile Pic,Is Location Exact,Instant Bookable"
5804299,"Trastevere 360","none","2013-05-12","within an hour",100,"Roma",41.8896975780888,12.4716759868215,"Apartment","Entire home/apt",4,2,1,2,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Family/kid friendly,Essentials",119,200,40,3,6,97,9,10,10,10,10,10,"flexible_new","Host Has Profile Pic,Is Location Exact,Instant Bookable"
12151322,"Stanza singola a Musei Vaticani","none","2013-08-08","",NA,"Roma",41.9080951823634,12.4493434971043,"Apartment","Private room",1,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Lock on bedroom door,Hangers,Iron,Laptop friendly workspace",30,100,NA,7,0,NA,NA,NA,NA,NA,NA,NA,"flexible_new","Host Has Profile Pic"
10515869,"SUPERIOR Room with INTERNAL BATHROOM","none","2014-02-22","within a few hours",100,"Roma",41.8914051108715,12.5142011570026,"Apartment","Private room",2,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Essentials,24-hour check-in,Hair dryer,Laptop friendly workspace",52,NA,NA,1,9,84,8,9,9,9,8,8,"moderate_new","Host Has Profile Pic,Is Location Exact"
6855985,"Camera quadrupla","none","2014-09-25","within an hour",100,"Roma",41.8917589784854,12.5127889480281,"Bed & Breakfast","Private room",4,1,1,3,"Real Bed","TV,Air conditioning,Family/kid friendly",99,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,"flexible_new","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
17087445,"Trevi Apartment","none","2016-08-27","within an hour",100,"Roma",41.9024818823837,12.485774608176,"Apartment","Entire home/apt",6,1.5,2,4,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",150,NA,65,2,6,97,10,10,10,10,10,10,"moderate_new","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
