"ID","Name","Experiences.Offered","Host.Since","Host.Response.Time","Host.Response.Rate","City","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bathrooms","Bedrooms","Beds","Bed.Type","Amenities","Price","Security.Deposit","Cleaning.Fee","Minimum.Nights","Number.of.Reviews","Review.Scores.Rating","Review.Scores.Accuracy","Review.Scores.Cleanliness","Review.Scores.Checkin","Review.Scores.Communication","Review.Scores.Location","Review.Scores.Value","Cancellation.Policy","Features"
17892426,"Luxury Design Home Vienna X","none","2010-11-30","within an hour",100,"Wien",48.1967812597707,16.4029970259982,"Apartment","Entire home/apt",6,1,2,6,"Real Bed","TV,Cable TV,Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Room-darkening shades",135,NA,90,3,2,100,10,10,10,10,10,10,"strict","Host Has Profile Pic,Is Location Exact"
13091700,"Modern Apartment close to Hundertwasserhaus","none","2015-06-21","",NA,"Wien",48.1950180146019,16.4003752675289,"Apartment","Entire home/apt",6,1,3,3,"Real Bed","TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Hangers,Hair dryer,Iron,Laptop friendly workspace",128,NA,NA,3,1,80,8,4,8,10,10,8,"flexible","Host Has Profile Pic"
3080300,"Royal Resort Studio Belvedere 16","none","2013-11-13","within an hour",90,"Wien",48.1880918649175,16.3875858650645,"Apartment","Entire home/apt",4,1,0,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo",62,NA,20,1,4,75,7,8,8,8,6,7,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
9688385,"Studio on the Main Square of Vienna","none","2011-09-27","within an hour",100,"Wien",48.2082409105743,16.3754977536429,"Apartment","Entire home/apt",4,1,1,2,"Real Bed","TV,Wireless Internet,Kitchen,Pets allowed,Hot tub,Heating,Family/kid friendly,Suitable for events,Washer,Shampoo,Hair dryer,Iron,translation missing: en.hosting_amenity_50",80,NA,40,1,40,84,9,8,9,9,10,8,"flexible","Host Has Profile Pic,Host Identity Verified,Instant Bookable"
13662328,"City Apartment Vienna De Luxe 4","none","2016-05-23","within a few hours",100,"Wien",48.2065591312263,16.3744986730164,"Apartment","Entire home/apt",4,2.5,2,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox",185,350,80,3,14,97,10,10,10,10,10,10,"strict","Host Is Superhost,Host Has Profile Pic,Is Location Exact"
7028479,"Luxury Opera 100m2!Kärtnerstrasse55","none","2014-02-09","within an hour",100,"Wien",48.2031102441431,16.3696258894935,"House","Entire home/apt",5,1,3,4,"Real Bed","Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",100,250,40,1,35,86,9,9,9,10,10,9,"strict","Host Has Profile Pic,Host Identity Verified,Instant Bookable"
13500138,"small cosy double room in the city center of Vienna","none","2016-01-05","within a few hours",81,"Wien",48.208798570803,16.3730063762293,"Bed & Breakfast","Private room",2,1,1,2,"Real Bed","TV,Wireless Internet,Air conditioning,Breakfast,Elevator in building,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",80,NA,20,1,5,90,9,8,10,9,10,9,"flexible","Host Has Profile Pic,Is Location Exact"
8715263,"Charming room in prime location","none","2015-04-10","within an hour",100,"Wien",48.2068397488982,16.3598632966607,"Apartment","Private room",2,1.5,1,1,"Real Bed","Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",39,300,10,2,101,95,10,10,10,9,10,10,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
9746817,"LOVELY APARTMENT IN THE BOBO CENTRE","none","2012-09-13","",NA,"Wien",48.2085158495516,16.3747889072858,"House","Entire home/apt",3,1,1,2,"Real Bed","Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace",80,200,50,1,2,80,8,7,10,10,10,9,"strict","Host Has Profile Pic,Is Location Exact,Require Guest Profile Picture,Require Guest Phone Verification"
8819891,"Exquisite Apartment in City Center","none","2011-12-29","within an hour",100,"Wien",48.2122004590515,16.3711042163717,"Apartment","Entire home/apt",6,1,2,2,"Real Bed","TV,Cable TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",150,300,40,1,132,96,10,10,10,10,10,10,"strict","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
5835195,"Downtown-Explorer-Apt in the Center","none","2011-05-20","within an hour",100,"Wien",48.2105917478146,16.3769141716783,"Apartment","Entire home/apt",3,1,0,1,"Real Bed","TV,Cable TV,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",70,150,30,3,124,98,10,10,10,10,10,10,"strict","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
18002307,"ElegantVienna Piccolo Judenplatz","none","2011-11-10","within an hour",100,"Wien",48.2105183498536,16.3710192935014,"Apartment","Entire home/apt",5,1,1,3,"Real Bed","TV,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron",145,300,60,3,0,NA,NA,NA,NA,NA,NA,NA,"flexible","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable"
17951296,"Luxury-Appartement","none","2017-03-29","within an hour",100,"Wien",48.2089051937434,16.3790109650017,"Apartment","Entire home/apt",4,1.5,2,2,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace",150,NA,50,2,1,100,10,10,10,10,10,10,"strict","Host Has Profile Pic,Is Location Exact"
